"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"141","0.882824","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=112735 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x018"
"142","0.882870","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=114187 Win=130816 Len=0","","0x010"
"143","0.884601","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=114187 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x010"
"144","0.884601","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=115639 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x018"
"145","0.884654","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=117091 Win=130816 Len=0","","0x010"
"146","0.885892","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x010"
"147","0.885892","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=118543 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x018"
"148","0.885950","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=119995 Win=130816 Len=0","","0x010"
"149","0.888021","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=119995 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x010"
"150","0.888021","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=121447 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x018"
"151","0.888085","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=122899 Win=130816 Len=0","","0x010"
"152","0.889396","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=122899 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x010"
"153","0.889396","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=124351 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x018"
"154","0.889433","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=125803 Win=130816 Len=0","","0x010"
"155","0.891082","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=125803 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x010"
"156","0.891082","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=127255 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x018"
"157","0.891120","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=128707 Win=130816 Len=0","","0x010"
"158","0.892764","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=128707 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x010"
"159","0.893149","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=130159 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x018"
"160","0.893178","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=131611 Win=130816 Len=0","","0x010"
"161","0.894308","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=131611 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 162]","","0x010"
"162","0.894308","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x018"
"163","0.894349","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=134515 Win=130816 Len=0","","0x010"
"164","0.895795","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=134515 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x010"
"165","0.896595","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=135967 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x018"
"166","0.896641","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=137419 Win=130816 Len=0","","0x010"
"167","0.897371","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=137419 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x010"
"168","0.897371","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=138871 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x018"
"169","0.897412","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=140323 Win=130816 Len=0","","0x010"
"170","0.901273","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=140323 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x010"
"171","0.901273","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=141775 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x018"
"172","0.901369","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=143227 Win=130816 Len=0","","0x010"
"173","0.901877","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=143227 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x010"
"174","0.902392","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=144679 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x018"
"175","0.902582","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=146131 Win=130816 Len=0","","0x010"
"176","0.903202","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=146131 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x010"
"177","0.903688","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=147583 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x018"
"178","0.903720","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=149035 Win=130816 Len=0","","0x010"
"179","0.913404","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=149035 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 180]","","0x010"
"180","0.913404","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x018"
