"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"82","0.607003","10.9.14.244","206.247.43.169","UDP","225","63406  >  8801 Len=183","",""
"83","0.625015","10.9.14.244","206.247.43.169","UDP","211","63406  >  8801 Len=169","",""
"84","0.625083","10.9.14.244","206.247.43.169","UDP","314","63404  >  8801 Len=272","",""
"85","0.640011","10.9.14.244","206.247.43.169","UDP","196","63406  >  8801 Len=154","",""
"86","0.644960","206.247.43.169","10.9.14.244","UDP","533","8801  >  63404 Len=491","",""
"87","0.644960","206.247.43.169","10.9.14.244","UDP","533","8801  >  63404 Len=491","",""
"88","0.644960","206.247.43.169","10.9.14.244","UDP","532","8801  >  63404 Len=490","",""
"89","0.644960","206.247.43.169","10.9.14.244","UDP","532","8801  >  63404 Len=490","",""
"90","0.665247","10.9.14.244","206.247.43.169","UDP","178","63406  >  8801 Len=136","",""
"91","0.674975","206.247.43.169","10.9.14.244","UDP","427","8801  >  63404 Len=385","",""
"92","0.675497","10.9.14.244","206.247.43.169","UDP","145","63404  >  8801 Len=103","",""
"93","0.684832","10.9.14.244","206.247.43.169","UDP","148","63406  >  8801 Len=106","",""
"94","0.704895","10.9.14.244","206.247.43.169","UDP","146","63406  >  8801 Len=104","",""
"95","0.720163","10.9.14.244","206.247.43.169","UDP","150","63406  >  8801 Len=108","",""
"96","0.726877","206.247.43.169","10.9.14.244","UDP","546","8801  >  63404 Len=504","",""
"97","0.726877","206.247.43.169","10.9.14.244","UDP","546","8801  >  63404 Len=504","",""
"98","0.726877","206.247.43.169","10.9.14.244","UDP","545","8801  >  63404 Len=503","",""
"99","0.726877","206.247.43.169","10.9.14.244","UDP","545","8801  >  63404 Len=503","",""
"100","0.746052","10.9.14.244","206.247.43.169","UDP","152","63406  >  8801 Len=110","",""
"101","0.765949","10.9.14.244","206.247.43.169","UDP","144","63406  >  8801 Len=102","",""
"102","0.766888","206.247.43.169","10.9.14.244","UDP","552","8801  >  63404 Len=510","",""
"103","0.766888","206.247.43.169","10.9.14.244","UDP","1158","8801  >  63404 Len=1116","",""
"104","0.786383","10.9.14.244","206.247.43.169","UDP","155","63406  >  8801 Len=113","",""
"105","0.800762","10.9.14.244","206.247.43.169","UDP","162","63406  >  8801 Len=120","",""
"106","0.809271","206.247.43.169","10.9.14.244","UDP","186","8801  >  63404 Len=144","",""
"107","0.826843","10.9.14.244","206.247.43.169","UDP","387","63404  >  8801 Len=345","",""
"108","0.826887","10.9.14.244","206.247.43.169","UDP","162","63406  >  8801 Len=120","",""
"109","0.845600","10.9.14.244","206.247.43.169","UDP","169","63406  >  8801 Len=127","",""
"110","0.849884","206.247.43.169","10.9.14.244","UDP","858","8801  >  63404 Len=816","",""
"111","0.849884","206.247.43.169","10.9.14.244","UDP","858","8801  >  63404 Len=816","",""
"112","0.849884","206.247.43.169","10.9.14.244","UDP","858","8801  >  63404 Len=816","",""
"113","0.865958","10.9.14.244","206.247.43.169","UDP","165","63406  >  8801 Len=123","",""
"114","0.876085","10.9.14.244","206.247.43.169","UDP","123","63404  >  8801 Len=81","",""
"115","0.881021","206.247.43.169","10.9.14.244","UDP","858","8801  >  63404 Len=816","",""
"116","0.881021","206.247.43.169","10.9.14.244","UDP","857","8801  >  63404 Len=815","",""
"117","0.881866","10.9.14.244","206.247.43.169","UDP","174","63406  >  8801 Len=132","",""
"118","0.905560","10.9.14.244","206.247.43.169","UDP","170","63406  >  8801 Len=128","",""
"119","0.911917","206.247.43.169","10.9.14.244","UDP","1032","8801  >  63404 Len=990","",""
"120","0.911917","206.247.43.169","10.9.14.244","UDP","1032","8801  >  63404 Len=990","",""
